key,hold_time,flight_time,latency,emotion
n,105.2,200.5,305.7,calm
a,108.4,205.2,313.6,calm
t,103.1,198.9,302.0,calm
u,106.5,202.1,308.6,calm
r,107.3,195.4,302.7,calm
e,104.0,200.2,304.2,calm
v,109.1,208.5,317.6,calm
i,101.2,199.8,301.0,calm
b,103.4,201.2,304.6,calm
e,105.0,200.5,305.5,calm
s,104.2,202.5,306.7,calm
e,107.4,208.2,315.6,calm
r,102.1,195.9,298.0,calm
e,105.5,204.1,309.6,calm
n,106.3,198.4,304.7,calm
e,103.0,202.2,305.2,calm
 ,108.1,215.5,323.6,calm
v,102.2,197.8,300.0,calm
i,104.4,204.2,308.6,calm
e,106.0,202.5,308.5,calm
w,105.2,200.5,305.7,calm
i,108.4,205.2,313.6,calm
n,103.1,198.9,302.0,calm
d,106.5,202.1,308.6,calm
o,107.3,195.4,302.7,calm
w,104.0,200.2,304.2,calm
p,109.1,208.5,317.6,calm
a,101.2,199.8,301.0,calm
n,103.4,201.2,304.6,calm
e,105.0,200.5,305.5,calm
