key,hold_time,flight_time,latency,emotion
t,145.2,350.5,495.7,sad
i,138.4,380.2,518.6,sad
r,150.1,410.9,561.0,sad
e,142.5,390.1,532.6,sad
d,137.3,420.4,557.7,sad
w,144.0,360.2,504.2,sad
o,139.1,385.5,524.6,sad
r,141.2,400.8,542.0,sad
k,143.4,410.2,553.6,sad
.,155.0,450.5,605.5,sad
h,150.2,420.5,570.7,sad
e,145.4,390.2,535.6,sad
a,148.1,450.9,599.0,sad
v,155.5,480.1,635.6,sad
y,142.3,510.4,652.7,sad
 ,160.0,600.2,760.2,sad
d,144.0,410.5,554.5,sad
a,139.1,430.8,569.9,sad
y,152.2,460.2,612.4,sad
s,148.4,480.1,628.5,sad
a,145.2,420.5,565.7,sad
l,148.4,390.2,538.6,sad
o,150.1,410.9,561.0,sad
n,142.5,390.1,532.6,sad
e,137.3,420.4,557.7,sad
 ,165.0,580.2,745.2,sad
s,144.0,360.2,504.2,sad
i,139.1,385.5,524.6,sad
g,141.2,400.8,542.0,sad
h,143.4,410.2,553.6,sad
